"","Year","Site","Sub_site","Transect","Latitude","Longitud","Density_Biomass","count"
"1",2023,"Isla_San_Jeronimo_Expuesto","Centre",1,29.793255,-115.800434,122.129629202873,18
"2",2023,"Isla_San_Jeronimo_Expuesto","Centre",2,29.793255,-115.800434,0,18
"3",2023,"Isla_San_Jeronimo_Expuesto","Centre",3,29.793255,-115.800434,0,18
"4",2023,"Isla_San_Jeronimo_Expuesto","Lobera",1,29.7803,-115.80246,123.569899587115,18
"5",2023,"Isla_San_Jeronimo_Expuesto","Lobera",2,29.7803,-115.80246,220.23910922949,18
"6",2023,"Isla_San_Jeronimo_Expuesto","Lobera",3,29.7803,-115.80246,131.228121627144,18
"7",2022,"Isla_Asuncion","Norte",1,27.109644,-114.290611,78.8670121219057,12
"8",2022,"Isla_Asuncion","Norte",3,27.109644,-114.290611,176.435434631475,12
"9",2022,"Isla_Asuncion","Norte",2,27.109644,-114.290611,17.8021975204692,12
"10",2022,"Punta_San_Roque","Norte",1,27.174471,-114.434133,52.883851033323,12
"11",2022,"Punta_San_Roque","Norte",2,27.174471,-114.434133,35.0816535128538,12
"12",2022,"Punta_San_Roque","Norte",3,27.174471,-114.434133,17.8021975204692,12
"13",2022,"Emancipacion_El_Cardon","Norte",1,27.485054,-114.628429,17.8021975204692,12
"14",2022,"Emancipacion_El_Cardon","Norte",2,27.485054,-114.628429,78.8670121219057,12
"15",2022,"Emancipacion_El_Cardon","Norte",3,27.485054,-114.628429,61.0648146014365,12
"16",2022,"Emancipacion_Puerto_Escondido","Norte",2,27.54746,-114.76027,105.767702066646,6
"17",2022,"Emancipacion_Puerto_Escondido","Norte",1,27.54746,-114.76027,0,6
"18",2022,"Emancipacion_Puerto_Escondido","Norte",3,27.54746,-114.76027,17.8021975204692,6
"19",2022,"Isla_Natividad_La_Vela","Norte",1,27.84756,-115.187021,0,12
"20",2022,"Isla_Natividad_La_Vela","Norte",2,27.84756,-115.187021,693.185273560902,12
"21",2022,"Isla_Natividad_La_Vela","Norte",3,27.84756,-115.187021,113.94866563476,12
"22",2022,"Isla_Natividad_El_Tibo","Norte",1,27.887471,-115.221059,35.6043950409384,12
"23",2022,"Isla_Natividad_El_Tibo","Norte",2,27.887471,-115.221059,17.8021975204692,12
"24",2022,"Isla_Natividad_El_Tibo","Norte",3,27.887471,-115.221059,17.8021975204692,12
"25",2022,"Bahia_Tortugas_Clambei","Norte",2,27.631947,-114.867435,324.943012251004,9
"26",2022,"Bahia_Tortugas_Clambei","Norte",1,27.631947,-114.867435,0,9
"27",2022,"Bahia_Tortugas_Clambei","Norte",3,27.631947,-114.867435,132.650076022424,9
"28",2022,"Bahia_Tortugas_Sargazera","Norte",1,27.677767,-114.938963,52.883851033323,6
"29",2022,"Bahia_Tortugas_Sargazera","Norte",2,27.677767,-114.938963,124.0926411152,6
"30",2022,"Bahia_Tortugas_Sargazera","Norte",3,27.677767,-114.938963,17.8021975204692,6
"31",2022,"Bahia_Tortugas_Rompiente","Norte",1,27.712045,-115.001321,17.8021975204692,6
"32",2022,"Bahia_Tortugas_Rompiente","Norte",2,27.712045,-115.001321,0,6
"33",2022,"Bahia_Tortugas_Rompiente","Norte",3,27.712045,-115.001321,0,6
"34",2022,"Punta_Eugenia_Las_Boyas","Norte",1,27.843792,-115.084377,17.8021975204692,12
"35",2022,"Punta_Eugenia_Las_Boyas","Norte",3,27.843792,-115.084377,0,12
"36",2022,"Punta_Eugenia_Las_Boyas","Norte",2,27.843792,-115.084377,0,12
"37",2022,"Punta_Eugenia_El_Reventon","Norte",1,27.874902,-115.061791,447.072641453877,12
"38",2022,"Punta_Eugenia_El_Reventon","Norte",2,27.874902,-115.061791,212.039829672414,12
"39",2022,"Punta_Eugenia_El_Reventon","Norte",3,27.874902,-115.061791,139.931826723342,12
"40",2022,"Isla_Cedros_La_Botella","Norte",1,28.026608,-115.233751,71.2087900818768,12
"41",2022,"Isla_Cedros_La_Botella","Norte",2,28.026608,-115.233751,35.6043950409384,12
"42",2022,"Isla_Cedros_La_Botella","Norte",3,28.026608,-115.233751,124.615382643284,12
"43",2022,"Isla_Cedros_Cabo_San_Agustin","Norte",1,28.077758,-115.362006,113.94866563476,12
"44",2022,"Isla_Cedros_Cabo_San_Agustin","Norte",2,28.077758,-115.362006,17.8021975204692,12
"45",2022,"Isla_Cedros_Cabo_San_Agustin","Norte",3,28.077758,-115.362006,0,12
"46",2022,"Isla_Cedros_Puerto_Escondido","Norte",1,28.29133,-115.26613,17.8021975204692,12
"47",2022,"Isla_Cedros_Puerto_Escondido","Norte",2,28.29133,-115.26613,17.8021975204692,12
"48",2022,"Isla_Cedros_Puerto_Escondido","Norte",3,28.29133,-115.26613,149.030319147613,12
"49",2022,"Isla_Cedros_Punta_Norte","Norte",1,28.377246,-115.212234,0,12
"50",2022,"Isla_Cedros_Punta_Norte","Norte",2,28.377246,-115.212234,0,12
"51",2022,"Isla_Cedros_Punta_Norte","Norte",3,28.377246,-115.212234,115.370620030039,12
"52",2022,"Islas_San_Benito_El_Creston","Norte",1,28.296111,-115.580035,78.8670121219057,12
"53",2022,"Islas_San_Benito_El_Creston","Norte",2,28.296111,-115.580035,300.904547085786,12
"54",2022,"Islas_San_Benito_El_Creston","Norte",3,28.296111,-115.580035,0,12
"55",2022,"Islas_San_Benito_Los_Huevos","Norte",1,28.302868,-115.551165,35.6043950409384,6
"56",2022,"Islas_San_Benito_Los_Huevos","Norte",3,28.302868,-115.551165,17.8021975204692,6
"57",2022,"Islas_San_Benito_Los_Huevos","Norte",2,28.302868,-115.551165,0,6
"58",2022,"Islas_San_Benito_El_Tecapan","Norte",1,28.316229,-115.604471,0,9
"59",2022,"Islas_San_Benito_El_Tecapan","Norte",3,28.316229,-115.604471,158.128811571885,9
"60",2022,"Islas_San_Benito_El_Tecapan","Norte",2,28.316229,-115.604471,0,9
"61",2022,"Isla_San_Jeronimo_Expuesto","Norte",1,29.796533,-115.7965,52.883851033323,18
"62",2022,"Isla_San_Jeronimo_Expuesto","Norte",2,29.796533,-115.7965,61.0648146014365,18
"63",2022,"Isla_San_Jeronimo_Expuesto","Norte",3,29.796533,-115.7965,89.010987602346,18
"64",2022,"El_Rosario_Picacho","Norte",2,29.89152,-115.77549,0,12
"65",2022,"El_Rosario_Picacho","Norte",1,29.89152,-115.77549,17.8021975204692,12
"66",2022,"El_Rosario_Picacho","Norte",3,29.89152,-115.77549,17.8021975204692,12
"67",2022,"El_Rosario_Lazaro","Norte",1,29.90381,-115.77609,282.221452687084,12
"68",2022,"El_Rosario_Lazaro","Norte",2,29.90381,-115.77609,158.651553099969,12
"69",2022,"El_Rosario_Lazaro","Norte",3,29.90381,-115.77609,53.4065925614076,12
"70",2022,"Isla_San_Martin_Expuesto","Norte",1,30.484633,-116.125933,0,12
"71",2022,"Isla_San_Martin_Expuesto","Norte",2,30.484633,-116.125933,0,12
